Interval [start=0, end=149]
1.0059 : 1.5743314
1.0118 : 1.5743314
1.0177001 : 1.5743314
1.0236001 : 1.5743314
1.0295001 : 1.5743314
1.0354002 : 1.5743314
1.0413002 : 1.5743314
1.0472002 : 1.5743314
1.0531002 : 1.5743314
1.0590003 : 1.5743314
1.0649003 : 1.5743314
1.0708003 : 1.5743314
1.0767003 : 1.5743314
1.0826004 : 1.5743314
1.0885004 : 1.5743314
1.0944004 : 1.5743314
1.1003004 : 1.5635685
1.1062005 : 1.5635685
1.1121005 : 1.5635685
1.1180005 : 1.5635685
1.1239005 : 1.5635685
1.1298006 : 1.5635685
1.1357006 : 1.5635685
1.1416006 : 1.5635685
1.1475006 : 1.5635685
1.1534007 : 1.5635685
1.1593007 : 1.5635685
1.1652007 : 1.5635685
1.1711007 : 1.5635685
1.1770008 : 1.5635685
1.1829008 : 1.5635685
1.1888008 : 1.5635685
1.1947008 : 1.5635685
1.2006009 : 1.5416329
1.2065009 : 1.5416329
1.2124009 : 1.5416329
1.2183009 : 1.5416329
1.224201 : 1.5416329
1.230101 : 1.5416329
1.236001 : 1.5416329
1.241901 : 1.5416329
1.2478011 : 1.5416329
1.2537011 : 1.5416329
1.2596011 : 1.5416329
1.2655011 : 1.5416329
1.2714012 : 1.5416329
1.2773012 : 1.5416329
1.2832012 : 1.5416329
1.2891012 : 1.5416329
1.2950013 : 1.5416329
1.3009013 : 1.46011
1.3068013 : 1.46011
1.3127013 : 1.46011
1.3186014 : 1.46011
1.3245014 : 1.46011
1.3304014 : 1.46011
1.3363014 : 1.46011
1.3422015 : 1.46011
1.3481015 : 1.46011
1.3540015 : 1.46011
1.3599015 : 1.46011
1.3658016 : 1.46011
1.3717016 : 1.46011
1.3776016 : 1.46011
1.3835016 : 1.46011
1.3894017 : 1.46011
1.3953017 : 1.46011
1.4012017 : 1.2986358
1.4071018 : 1.2986358
1.4130018 : 1.2986358
1.4189018 : 1.2986358
1.4248018 : 1.2986358
1.4307019 : 1.2986358
1.4366019 : 1.2986358
1.4425019 : 1.2986358
1.4484019 : 1.2986358
1.454302 : 1.2986358
1.460202 : 1.2986358
1.466102 : 1.2986358
1.472002 : 1.2986358
1.477902 : 1.2986358
1.4838021 : 1.2986358
1.4897021 : 1.2986358
1.4956021 : 1.2986358
1.5015022 : 1.0545926
1.5074022 : 1.0545926
1.5133022 : 1.0545926
1.5192022 : 1.0545926
1.5251023 : 1.0545926
1.5310023 : 1.0545926
1.5369023 : 1.0545926
1.5428023 : 1.0545926
1.5487024 : 1.0545926
1.5546024 : 1.0545926
1.5605024 : 1.0545926
1.5664024 : 1.0545926
1.5723025 : 1.0545926
1.5782025 : 1.0545926
1.5841025 : 1.0545926
1.5900025 : 1.0545926
1.5959026 : 1.0545926
1.6018026 : 0.8884278
1.6077026 : 0.8884278
1.6136026 : 0.8884278
1.6195027 : 0.8884278
1.6254027 : 0.8884278
1.6313027 : 0.8884278
1.6372027 : 0.8884278
1.6431028 : 0.8884278
1.6490028 : 0.8884278
1.6549028 : 0.8884278
1.6608028 : 0.8884278
1.6667029 : 0.8884278
1.6726029 : 0.8884278
1.6785029 : 0.8884278
1.684403 : 0.8884278
1.690303 : 0.8884278
1.696203 : 0.8884278
1.702103 : 0.7613451
1.708003 : 0.7613451
1.7139031 : 0.7613451
1.7198031 : 0.7613451
